site_id,gravity
BUHX,979811.927
BUJ2,979774.633
BVFU,979837.329
DV47,979860.46
EG0X,979769.886
EG1R,979788.435
EG29,979766.83
EG89,979794.258
EGBM,979775.598
EJ14,979838.39
EJG1,979816.47
MTJG,980248.931
A85G,980250.621
ACTN,980263.72
ACCE,980220.898
DJMH,980264.009
B9GR,980260.176
BEXQ,980247.276
AC80,980244.256
AP6Y,980239.259
B35A,980266.041
EFP6,980269.215
AC7G,980245.539
ACQY,980348.509
ADQ1,980369.775
AC8P,980296.223
AC7W,980256.009
1038,980797.679
A0LQ,980803.82
A1C8,980728.769
A1HC,980577.07
A1J0,980677.678
A29E,980653.617
A36E,980638.032
A3PF,980428.302
ACG0,980583.93
ADQ2,980522.327
ADQE,980580.497
ADX3,980644.634
ADYP,980674.765
AEG8,980683.42
AEGX,980704.445
AEJY,980589.734
AEQG,980606.411
AFAX,980529.553
AHMB,980481.231
AHQ5,980813.36
B066,980791.37
B331,980731.794
B3VP,980584.407
BAXN,980494.369
BGR1,980619.84
BGT6,980484.32
BH2N,980700.071
BKFK,980494.133
F6F4,980690.786
EBJK,980587.156
EFRA,980701.868
EJ85,980480.467
F6F2,980638.67
DJMB,980038.864
F6DR,980039.026
F6DT,980038.599
F6DU,980038.947
F6DV,980040.566
ACVP,980041.555
F6DW,980041.98
AB55,980012.259
F6DX,980007.441
F6DY,980009.168
DD1N,979947.771
DD1Y,979947.329
F6E0,979946.944
F6E1,979947.082
F6E2,979947.19
F6E3,980108.146
BAXE,980107.116
F6E4,980108.91
F6E5,980106.119
F6E6,980107.17
F6E7,980266.96
F6E8,980542.016
F6E9,979941.087
C66T,979933.811
F6EA,980073.852
F6EB,980525.465
F6EC,980525.438
F6ED,979934.044
F6EE,980251.009
WARG,979886.252
F6EF,979955.24
F6EG,980251.009
F6EH,980727.527
F6EJ,980279.237
F6EK,980107.394
F6EL,979922.338
EXDE,980287.096
EXDQ,980299.343
F6EM,980258.164
EXDD,980239.711
F6EN,980351.624
F6EP,980285.396
F6EQ,980505.416
F6ER,980422.054
F6ET,980272.405
F6EU,980261.45
F6EV,980229.224
F6EW,980336.323
F6EX,980439.841
6702,980524.88
F6F5,980266.915
5402,980218.007
EXK2,980323.126
EVNQ,980328.935
WAW1,979886.314
8105,980250.21
ER1R,980694.251
ER1T,980698.364
ER1U,980688.204
ER1V,980640.912
ER1W,980640.698
ER1X,980637.271
ER1Y,980623.438
ER20,980613.067
ER21,980599.284
E9GC,980591.233
ER22,980571.841
ER23,980571.795
ER24,980554.235
EWGJ,980541.263
ER26,980507.271
ER18,980479.153
ER17,980467.002
ER27,980489.419
ER28,980493.062
ER29,980489.708
ER2A,980491.586
ER2B,980494.844
ER15,980512.071
ER14,980527.746
E9UT,980543.057
E9UL,980568.475
AEHK,980544.465
AEHG,980527.602
B3UH,980605.785
B3UW,980620.714
B3V2,980637
AFYV,980659.181
B3YL,980663.091
AETJ,980687.176
B3YT,980687.125
AETW,980695.398
ADDD,980711.203
ADDW,980744.77
B40J,980757.489
AEYR,980748.075
AEYN,980740.027
AEYF,980735.552
AG1T,980730.811
AFFK,980705.41
AG1E,980723.343
AG1N,980727.083
AG21,980735.603
B40F,980745.424
AEYW,980755.477
ADEV,980766.377
ADF0,980759.476
ADP4,980782.211
ADE9,980775.934
ADEG,980771.535
ADEL,980756.196
B3JC,980756.102
ADDN,980752.683
ADCQ,980742.942
ADD3,980730.145
AETP,980707.308
AETU,980696.604
AET9,980693.665
AET0,980665.372
B492,980652.241
B3UP,980630.017
AEH5,980577.176
AEH9,980543.655
AEHC,980539.292
AEHM,980562.887
AEHR,980554.717
AED9,980546.094
AEDD,980533.348
AEDG,980519.219
AEDN,980499.644
AEDV,980506.339
B3TV,980502.854
AEA7,980494.976
AEA4,980479.222
AEA1,980476.096
AEAB,980466.278
AEAH,980455.86
AEAN,980441.563
B3TB,980421.956
B3TC,980420.689
AE9A,980419.575
AE9E,980406.442
AE9H,980405.854
AE9L,980397.631
AE8D,980397.909
B3T6,980400.815
AE8P,980408.948
AE8V,980401.142
AE90,980403.978
B3T3,980397.499
AE7U,980391.256
AE81,980383.718
AE86,980378.5
AE89,980348.812
AETG,980675.202
B3YW,980694.911
AEU2,980696.693
ADDA,980699.977
B41A,980524.866
B41L,980511.611
AF21,980515.521
AF2U,980506.168
AG2K,980486.549
AG2M,980482.816
B4AF,980471.934
AG2T,980467.475
B4AH,980461.927
AG32,980457.128
AG37,980455.044
B461,980445.044
